ROW_NUMBER,SUBGROUP,AVG_SPENDING,TARGET_SPENDING,AVG_CALL_COUNT,AVG_CALL_DUR,AVG_ACCT_BAL_BEFORE_CALL,AVG_RECHARGE_AMT,AVG_ACCT_BAL_BEFORE_RECHARGE,LABEL
6848,1,143.29,179,10.04,260.77,274.93,1080.62,49.36,1
6849,2,306.8,460,6.75,166.42,92.92,2731.65,41.47,1
6850,3,190.74,381,13.63,145.97,143.37,1711.87,18.86,0
6851,2,386.29,579,7.16,168.44,231.54,143.44,70.18,0
6852,3,411.83,824,5.45,17.78,107.84,2989.38,0.01,0
6853,3,222.04,444,9.26,125.85,85.65,2515.92,12.55,0
6854,3,216.2,432,12.66,47.69,231.64,2222.15,53.85,0
6855,1,241.17,301,5.23,230.31,281.32,2085.23,28.07,1
6856,3,421.06,842,13.2,94.06,350.93,2301.07,56.08,1
6857,3,288.4,577,22.75,23.3,256.29,1460.63,1.01,1
6858,2,44.04,66,15.22,77.37,308.78,3004.44,60.55,1
6859,2,151.33,227,14.48,118.34,27.64,2089.9,7.99,0
6860,3,383.89,768,4.84,142.64,71.29,3023.06,61.8,0
6861,2,202.94,304,19.57,41.22,202.47,2313.01,5,0
6862,1,270.72,338,18.86,152.13,102.07,3406.38,23.97,0
6863,1,460.89,576,8.98,50.96,96.85,2636.36,44.14,1
6864,1,89.71,112,11.63,173.03,264.92,2359.01,61.72,1
6865,2,429.23,644,31.62,63.7,262.14,381.2,38.47,1
6866,2,236.6,355,13.26,4.45,355.83,1360.98,33.6,1
6867,2,141.04,212,7.67,233.58,218.49,597.8,66.62,1
6868,2,447.51,671,26.7,224.94,19.24,1605.86,30.29,1
6869,2,249.91,375,11.84,46.68,97.34,380.52,27.72,1
6870,1,164.25,205,4.11,214.88,128.5,3554.65,66.42,1
6871,1,276.23,345,7.05,67.96,334.56,2804.13,23.6,1
6872,2,306.62,460,2.21,51.33,212.39,3381.53,40.2,0
6873,2,88.53,133,16.23,94.4,329.93,3379.96,69.01,0
6874,1,26.51,33,13.26,31.37,25.77,2879.43,65.07,0
6875,2,171.28,257,20.43,9.14,127.5,74.42,65.11,0
6876,2,265.16,398,20.16,238.81,32.97,3123.34,62.89,0
6877,3,313.65,627,24.31,298.24,225.66,2870.8,38.07,1
6878,2,330.27,495,7.48,92.21,63.39,1526.62,24.64,0
6879,3,75.97,152,9.14,165.51,93.03,3316.13,58.56,1
6880,2,335.73,504,24.12,123.41,313.29,327.34,55.43,1
6881,2,174.82,262,9.86,120.15,7.37,856.43,22.63,1
6882,1,3.28,4,18.98,89.95,351.87,1124.12,66.99,1
6883,3,285.36,571,18.3,16.1,182.14,3008,11.2,0
6884,3,398.37,797,6.31,9.1,90.1,3549.45,19.05,0
6885,1,228.52,286,4.33,98.02,94.32,2040.05,54,0
6886,1,386.81,484,18.89,177.44,125.19,2654.59,43.56,1
6887,2,54.74,82,7.1,20.54,171.79,307.48,66.51,0
6888,1,388.99,486,14.06,106.76,345.88,461.37,55.48,1
6889,2,288.06,432,12.69,220.16,201.72,886.93,56.49,1
6890,2,341.89,513,11.09,95.66,298.66,1330.54,6.04,1
6891,2,266.94,400,5.1,28.55,256.89,2849.03,27.5,1
6892,3,266.09,532,8.93,123.79,190.4,91.28,30.92,0
6893,1,126.55,158,3.69,98.7,108.17,1817.18,49.23,0
6894,1,137.84,172,28.47,97.12,90.97,3198.67,27.49,1
6895,2,369.46,554,17.46,79.38,50.18,3013.89,41.69,0
6896,2,360.4,541,18.14,79.52,228.67,970.91,4.54,0
6897,3,404.51,809,15.52,36.54,244.43,1804.59,25.19,0
6898,1,291.64,365,13.91,78.56,167.3,3019.05,6.37,0
6899,2,193.12,290,6.89,8.03,114.69,595.35,26.54,0
6900,2,264.96,397,14.75,199.64,76.52,2843.06,51.58,1
6901,2,96.82,145,10.64,130.87,328.23,1966.98,32.4,1
6902,3,401.76,804,7.27,112.6,130.5,3294.51,56.31,0
6903,2,383.21,575,3.2,81.54,162.47,101.96,57.4,1
6904,1,268.82,336,5.99,265.2,123.38,1059.15,50.69,1
6905,2,434.07,651,14.75,86.37,41.42,1860.98,25.84,0
6906,1,277.61,347,3.43,28.42,269.72,1063.18,20.79,1
6907,1,107.83,135,7.82,295.81,202.04,1217.84,20.59,1
6908,3,289.45,579,8.67,31.3,318.31,60.26,29.72,1
6909,1,121.95,152,7.8,151.3,355.68,2881.84,34.29,1
6910,3,231.55,463,9.68,24.72,326.32,1641.33,22.81,1
6911,1,40.77,51,6.78,65.07,133.09,3328.26,62.06,0
6912,2,23.02,35,25.3,27.88,33.51,816.09,44.39,1
6913,2,211.06,317,19.86,78.88,287.46,136.57,62.14,0
6914,1,291.03,364,16,135.4,201.18,2868.49,59.15,0
6915,3,202.27,405,4.55,43.63,96.44,1521.32,31.71,0
6916,1,143.75,180,4.53,80.79,205.72,1051.53,41.84,1
6917,3,226.91,454,17.88,89.37,362.82,350.58,39.69,1
6918,2,350.6,526,12.94,46.89,76.82,2996.92,62.54,0
6919,2,348.35,523,8.07,417.03,257.79,3410.86,11.49,1
6920,2,375.57,563,20.54,183.11,46.41,2961.14,44.59,1
6921,3,107.85,216,9.56,35.45,94.98,1635.7,3.05,0
6922,2,253.82,381,6.33,60.43,183.55,1472.25,32.83,0
6923,1,426.91,534,26.87,186,114.6,401.54,70.95,0
6924,1,396.82,496,11.47,159.59,323.89,505.06,5.5,1
6925,2,457.89,687,19.75,153.83,212.89,512.01,25.26,0
6926,1,328.38,410,10.42,6.39,222.97,1701.62,6.67,1
6927,2,308.92,463,26.18,104.93,48.27,462.67,23.54,1
6928,2,135.03,203,11.01,654.91,39.56,1620.82,28.53,1
6929,3,229.22,458,16.17,55.42,355.15,2871.57,70.73,1
6930,2,482.31,723,10.51,72.24,196.23,1674.29,37.51,0
6931,1,289.39,362,22.33,28.71,273.15,2875.57,11.67,1
6932,1,93.67,117,11.69,113.27,362.05,2562.51,15.45,1
6933,1,179.01,224,28.87,78.52,187.78,3574,61.68,1
6934,1,318.23,398,10.43,11.97,208.95,2807.87,7.12,0
6935,1,275.71,345,23.82,23.93,263.33,2686.75,8.51,1
6936,2,149.48,224,7.46,55.08,195.43,2074.11,33.95,1
6937,2,173.84,261,21.73,64.6,355.07,2287.96,69.58,1
6938,1,386.53,483,15.13,160.51,178.16,2099.9,27.18,1
6939,3,156.7,313,5.79,384.85,286.71,411.61,12.79,0
6940,2,86.68,130,9.07,87.16,248.77,2915.86,51.25,0
6941,1,320.79,401,10.7,22.3,13.23,753.49,23.91,0
6942,2,443.67,666,14.79,22.28,161.71,662.49,19.57,1
6943,1,428.11,535,5.54,240.68,127.65,3168.38,61.4,1
6944,3,139.01,278,24.82,105.63,155.51,3042.83,66.3,0
6945,2,88.99,133,8.44,46.89,278.85,2414.52,54.73,1
6946,3,459.93,920,33.33,10.09,98.55,1893.58,51.83,1
6947,2,349.12,524,12.02,142.02,46.11,2214.62,10.24,0
6948,1,444.33,555,13.59,24.48,169.48,2805.28,10.5,0
6949,2,353.84,531,6.67,178.79,37.67,1867.99,62.08,0
6950,3,282.38,565,19.4,43.65,306.75,446.67,45.2,1
6951,2,82.06,123,36.8,31.24,126.87,1063.76,4.44,1
6952,1,167.51,209,5.79,82.9,83.47,891.22,40.02,0
6953,2,18.01,27,5.94,107.44,363.99,1301.48,9.66,1
6954,1,153.65,192,13.5,29.62,275.92,2402.04,5.82,1
6955,1,327.9,410,10.84,4.64,145.25,1988.16,56.08,0
6956,1,388.68,486,28.12,18.82,313.19,3180.49,64.6,1
6957,3,283.53,567,8.52,175.03,290.32,845.51,39.78,1
6958,2,80.41,121,1.21,26.11,342.12,1451.49,47.66,1
6959,1,351.16,439,28.67,47.59,341.3,1855.65,13.04,1
6960,3,196.88,394,11.59,20.51,86.7,3279.33,33.22,0
6961,3,380.26,761,42.21,31.62,158.14,3035.08,45.2,0
6962,1,232.12,290,12,63.58,22.82,2079.1,0.15,1
6963,2,315.83,474,28.43,455.64,92.8,303.61,67.13,1
6964,3,191.72,383,31.91,84.13,145.8,1584.81,11.86,1
6965,1,113.85,142,14.16,93.05,241.37,1642.03,6.35,0
6966,3,241.24,482,22.85,20.89,96.52,3168.31,14.47,0
6967,2,234.12,351,29.07,140.15,268.33,3078.17,58.53,0
6968,2,107.17,161,9.22,286.97,318.32,2547.9,23.36,1
6969,3,332.3,665,11.44,66.54,206.97,571.14,2.32,0
6970,2,228.41,343,27.03,104.98,69.69,3059.83,62.56,1
6971,1,70.02,88,4.95,123.5,120.27,261.08,60.51,0
6972,3,172.53,345,7.63,53.65,96.65,191.06,38.52,0
6973,3,179.08,358,22.7,78.79,150.18,2310.72,1.66,0
6974,1,140.15,175,9.02,110.1,72.03,3531.99,24.93,0
6975,3,92.03,184,36,20.38,270.35,2060.24,29.21,1
6976,1,220.17,275,19.72,23.66,359.51,1498.87,25.52,1
6977,2,48.29,72,11.19,95.59,46.89,2513.93,30.02,0
6978,2,74.29,111,3.58,80.61,362.99,2181.28,20.62,1
6979,1,417.91,522,6.07,32.34,143.45,2349.6,37.4,0
6980,1,262.79,328,30.03,20.68,132.09,3333.94,38.68,1
6981,2,59.77,90,14.84,75.96,178.8,1981.07,66.85,0
6982,1,303.4,379,25.95,146.58,5.35,473.81,23.85,0
6983,1,207.66,260,12.79,57.68,334.4,1508.04,57.79,0
6984,1,362,453,10.63,164.26,330.67,3486.31,1.6,0
6985,3,171.93,344,20.11,50.88,20.65,243.02,57.48,0
6986,2,157.42,236,9.9,148.82,333.35,2866.46,7.4,1
6987,1,169.16,211,11.25,7.24,232.01,2644.11,52.32,0
6988,1,201.56,252,25.23,135,137.24,3114.62,69.26,0
6989,1,383.4,479,20.8,160.46,287.13,1518.41,52.94,1
6990,3,125.29,251,6.75,57.56,306.4,2254.5,18.47,1
6991,3,259.35,519,4,149.92,192.89,1146.43,54.26,0
6992,1,163.35,204,5.61,65.73,193.4,2068.32,31.45,0
6993,3,171.16,342,5.39,101.37,83.46,2811.92,36.49,0
6994,1,287.71,360,19.93,112.82,179.81,2124.87,66.13,0
6995,2,232.18,348,12.58,69.96,27.45,2922.19,38.85,0
6996,2,414.67,622,20.5,229.14,197.06,64.39,14.97,1
6997,3,37.36,75,8.06,101.22,120.76,3579.98,66.06,0
6998,3,188.83,378,18.96,67.31,167.68,3556.56,37.85,0
6999,3,246.12,492,8.79,303.77,331.72,2428.76,37.76,1
7000,2,365.22,548,4.35,105.71,51.84,815.43,8.45,0
7001,3,319.7,639,9,105.69,112.78,3494.45,1.49,0
7002,3,358.33,717,17.24,70.08,337.8,2923.34,6.85,1
7003,2,260.1,390,34.48,158.77,183.15,3482.38,25.33,1
7004,2,199.95,300,5.89,130.58,250.53,2697.15,10.22,1
7005,2,339.23,509,6.49,158.39,330.33,2441.36,21.23,1
7006,2,164.6,247,8.89,27.66,246.86,2908.72,9.46,1
7007,1,106.39,133,17.65,63.21,123.86,75.26,21.71,1
7008,3,265.24,530,1.34,28.84,16.15,138.58,6.14,0
7009,1,155.5,194,23.01,34.04,254.56,1423.94,68.34,1
7010,2,63.67,96,6.57,89.6,77.03,387.21,68.05,0
7011,3,304.97,610,30.79,146.9,129.19,3135.19,69.43,0
7012,3,285.09,570,4.8,197.44,342.5,2685.61,61.34,1
7013,1,87.63,110,19.41,387.8,317.24,3131.64,27.25,1
7014,1,265.04,331,8.01,29.43,192.25,1850.87,51.5,1
7015,2,93.41,140,13.78,205.88,128.2,792.13,44.6,1
7016,3,56.76,114,13.51,126.4,116.72,1875.85,19.48,0
7017,1,125.07,156,7.64,53.26,228.93,2480,53.58,0
7018,2,27.49,41,11.96,74.97,131.04,2985.55,51.72,1
7019,3,334.25,669,34.93,26.87,329.66,2549.5,38.39,1
7020,2,112.6,169,4.28,49.84,219.68,1361.06,22.86,0
7021,3,204.73,409,9.3,50.66,354.8,186.76,16.31,1
7022,2,261.23,392,9.08,8.11,332.47,1178.72,54.74,0
7023,3,366.68,733,8.29,66.81,227.75,1924.3,14.88,0
7024,3,234.29,469,15.64,123.28,13.88,472.19,31.91,0
7025,3,369.76,740,4.66,252.28,171.39,150.18,21.63,1
7026,3,196.56,393,3,105.49,161.61,2925.95,11.33,1
7027,1,349.19,436,29.63,79.25,211.82,362.02,17.56,1
7028,2,100.54,151,11.01,168.18,88.83,133.77,52.86,1
7029,2,462,693,10.19,3.36,222.61,1415.11,34.99,0
7030,1,342.5,428,13.39,56.05,307.15,2705.31,35.67,1
7031,1,260.23,325,24.85,49.91,305.1,3508.33,20.21,1
7032,3,137.03,274,10.37,56.39,264.77,3157.95,22.41,1
7033,3,73.1,146,13.76,44.09,95.52,3054.73,22.59,0
7034,1,166.98,209,10.39,127.02,43.99,2742.38,19.69,0
7035,1,309.73,387,19.35,58.94,47.29,2935.13,68.09,0
7036,3,321.03,642,11.64,58.39,164.3,2303.85,68.85,0
7037,1,451.9,565,9.26,247.44,101.54,2659.2,18.59,1
7038,1,127.42,159,27.19,112.24,282.53,2340.26,62.5,1
7039,2,131.47,197,1.7,121.29,285.38,83.38,57.98,1
7040,3,156.22,312,14.84,79.99,151.33,3446.15,17.82,0
7041,1,184.99,231,14.87,101.2,316.17,1583.24,39.24,1
7042,3,93.2,186,16.5,226.85,293.58,2558.61,26.35,0
7043,1,99.74,125,14.73,78.54,317.91,1784.05,40.97,1
7044,3,242.7,485,10.43,122.8,323.99,712.27,64.69,1
7045,2,142.81,214,9.99,125.55,309,2848.76,19.9,0
7046,2,233.65,350,11.96,132.82,361.53,2636.49,46.23,1
7047,2,338.22,507,14.05,89.66,338.03,1720.91,62.19,1
7048,3,373.73,747,5.78,51.28,52.8,2925.59,60.22,0
7049,3,212.09,424,25.59,142.12,344.65,1928.98,24.56,1
7050,3,108.5,217,19.32,32.33,205.21,2042.53,66.26,1
7051,1,198.2,248,20.16,29.78,249.84,1289.97,2.44,1
7052,1,198.48,248,11.98,72.6,83.67,1203.63,57.09,0
7053,2,241.59,362,5.11,103,103.88,2304.15,62.17,0
7054,3,332.7,665,28.31,108.51,239.14,2968,6.22,0
7055,2,246.49,370,22.09,275.48,137.46,3452.23,25.42,0
7056,1,201.66,252,19.29,150.3,80.05,2617.83,17.1,0
7057,1,424.57,531,13.1,107.46,201.05,3501.14,61.63,0
7058,3,63.81,128,10.79,179.58,305.54,1420.07,24.78,1
7059,2,420.78,631,18.34,158.26,275.91,1186.79,6.55,0
7060,3,226.6,453,16.47,3.51,332.96,1688.16,36.52,1
7061,1,390.89,489,9.98,231.39,25.32,1321.95,23.87,0
7062,3,125.62,251,18.85,15.03,221.51,2890.9,39.23,0
7063,2,349.63,524,7.43,141.52,28.52,2996.66,68.67,0
7064,2,111.97,168,8.52,8.02,225.45,2931.89,44.78,0
7065,2,246.17,369,13.11,484.49,151.39,2319.94,46.93,1
7066,2,113.91,171,2.49,171.02,359.53,611.1,63.98,1
7067,2,70.08,105,6.43,27.34,143.52,2021.68,63.6,0
7068,3,271.09,542,20.52,150.83,232.33,2176.13,25.49,0
7069,3,84.06,168,28.59,36.35,106.19,2288.51,10.83,1
7070,2,477.16,716,23.28,220.62,286.35,2038.26,70.77,1
7071,3,143.02,286,14.26,32.2,50.41,2835.43,39.96,0
7072,1,265.89,332,11.87,24.69,102.7,2601.39,3.56,1
7073,3,175.07,350,25.04,115.98,62.12,1134.88,26.98,0
7074,3,113.1,226,12.04,48.53,203.99,541.56,32.58,0
7075,1,455.96,570,5.15,407.12,290.05,2325.53,43.97,0
7076,3,282.79,566,21.89,7.15,92.88,2553.62,20.31,0
7077,3,372.73,745,11.58,82.79,287.37,2717.46,0.43,1
7078,3,280.61,561,2.78,79.4,294.22,1243.76,59.08,0
7079,2,140.81,211,30.08,28.31,131.68,1449.23,41.22,1
7080,2,127.61,191,35.77,218.63,294.1,2050.58,47.75,1
7081,2,154.69,232,24.54,124.59,10.09,1127.94,49.24,0
7082,2,202.59,304,2.31,87.43,166.61,1653.71,65.99,0
7083,1,140.63,176,12.74,24.02,141.78,1253.54,62.28,1
7084,3,52.15,104,5.84,100.33,264.69,727.06,2.63,1
7085,2,81.15,122,17.05,210.97,262.93,165.93,43.81,1
7086,1,71.83,90,13.71,278.38,195.27,350.86,40.02,1
7087,2,35.16,53,5.89,59.15,78.36,819.35,69.36,0
7088,2,109.28,164,30.56,78.82,78.01,1580.26,39.91,1
7089,3,379.57,759,6.09,70.69,28.4,2059.19,31.25,0
7090,3,88.92,178,6.14,12.04,191.17,2770.01,43.01,0
7091,1,437.61,547,6.28,86.65,323.62,2159.87,36.55,1
7092,2,43.56,65,8.49,31.72,334.11,2936.98,28.14,1
7093,1,313.88,392,26.56,127.56,54.14,1722.28,16.08,0
7094,1,319.21,399,6.29,16.66,166.92,2497.35,65.76,0
7095,3,50.36,101,11.04,100.68,88.81,3197.98,14.22,0
7096,2,170.8,256,11.08,90.03,106.73,3052.48,39.16,0
7097,1,334.14,418,5.67,125.34,324.67,2253.05,35.37,1
7098,3,382.52,765,26.21,146.58,324.82,2705.26,60.05,0
7099,3,261.01,522,15.11,46.22,267.15,3094.76,8.6,1
7100,1,431.64,540,12.81,32.32,220.41,3260,41.87,0
7101,1,310.07,388,23.64,67.87,39.53,1043.96,1.36,0
7102,3,134.91,270,2.62,461.53,251.4,2245.42,10.11,1
7103,2,285.93,429,6.17,99.83,104.13,1967.91,70.6,1
7104,1,311.31,389,19.55,224.55,175.09,1034.55,32.41,1
7105,1,454.34,568,4.27,421.88,217.1,1708.76,69.88,1
7106,2,84.1,126,11.76,330.2,292.52,260.67,41.29,1
7107,3,296.08,592,10.85,10.21,123.44,91.01,52.89,0
7108,1,61.5,77,15.37,5.57,290.59,2393.67,1.79,1
7109,3,422.1,844,14.87,97.7,45.28,1203.62,29.27,0
7110,2,376.43,565,21.72,98.36,304.36,2229.72,22.1,1
7111,2,32.91,49,15.37,52.27,271.47,140.72,45.93,1
7112,1,398.6,498,18.32,49.56,344.57,1468.9,65.15,1
7113,3,82.38,165,7.64,62.52,162.02,968.46,48.47,0
7114,1,111.86,140,2.77,150.63,65.4,1406.82,15.84,0
7115,3,378.19,756,3.33,122.89,317.6,3098.53,5.27,0
7116,3,181.78,364,4.29,49.35,157.89,1623.96,68.47,0
7117,3,109.98,220,11.66,82.88,348.26,1939.96,3.19,1
7118,2,269.67,405,28.87,43.27,270.67,2123.82,47.78,1
7119,1,457.23,572,8.28,161.41,162.65,1558.21,24.91,1
7120,2,196.61,295,20.72,197.5,56.92,3254.6,15.86,1
7121,2,438.88,658,2.5,52.02,114.32,2861.93,30.86,0
7122,1,219.1,274,24.89,28.74,78.56,1381.95,0.97,1
7123,2,300.05,450,15.29,283.42,323.09,2631.21,17.37,1
7124,3,301.78,604,4.14,248.77,96.46,1196.04,52,1
7125,1,27.47,34,7.94,74.51,172.11,2812.49,30.14,1
7126,2,263.2,395,18.55,18.1,157.25,367.46,40.07,0
7127,1,260.23,325,20.23,89.98,351.62,812.83,69.22,1
7128,2,132.58,199,18.62,40.24,25.02,3404.89,67.26,0
7129,2,156.83,235,19.19,142.54,344.47,1855.75,21.93,1
7130,2,437.53,656,11.7,4.77,307.23,1441.54,40.14,0
7131,3,333.21,666,9.3,64.08,329.48,396.45,56.92,1
7132,3,276.51,553,12.73,114.05,40.36,1790.19,27.59,0
7133,3,277.79,556,31.53,244.8,161.69,1211.32,0.28,1
7134,2,345.89,519,8.46,218.48,64.67,842.76,28.04,1
7135,3,329.61,659,11.04,13.79,187.46,2410.18,16.34,0
7136,3,190.92,382,12.31,156.43,215.13,319.4,36.11,0
7137,3,244.52,489,22.81,32.79,230.41,2188.16,16.61,0
7138,3,126.97,254,4.96,60.11,291.32,3140.71,15.9,1
7139,1,189.81,237,8.97,127.66,322.06,2243.4,17.27,1
7140,1,255.28,319,6.34,72.6,132.08,1414.25,35.89,0
7141,3,311.44,623,16.66,246.77,347.64,1441.94,26.01,1
7142,3,370.75,742,19.23,265.76,235.77,2923.97,13.41,1
7143,2,405.94,609,8.46,78.45,349.78,3384.33,34.9,1
7144,3,141.92,284,4.99,73.53,332.77,1306.54,41.82,1
7145,1,311.09,389,20.62,225.02,272.42,469.13,7.3,1
7146,3,287.2,574,13.43,58.13,306.16,1993.2,14.45,0
7147,2,127.37,191,5.09,58.65,31.53,1105.77,36.78,0
7148,2,329.77,495,6.68,165.15,227.92,478.83,60.2,1
7149,3,281.69,563,1.84,481.08,330.21,1961.49,23.89,0
7150,1,155.87,195,2.45,78.38,209.66,458.69,14.36,0
7151,3,265.86,532,20.42,121.97,204.66,1730.9,40.14,0
7152,2,318.27,477,16.63,101.51,296.63,2811.45,41.76,0
7153,3,323.76,648,6.37,253.95,258.15,289.53,14.92,1
7154,2,354.24,531,8.1,186.63,80.86,2279.93,68.46,1
7155,1,187.71,235,6.77,31.38,269.1,2780.36,64.6,1
7156,3,350.51,701,5.95,154.19,122.9,3086.37,38.85,1
7157,2,277.46,416,7,69.34,315.27,611.52,32.17,1
7158,3,378.42,757,6.04,66.3,326.77,958.91,37.99,1
7159,1,159.57,199,18.15,158.69,339.94,2109.69,4.66,1
7160,3,259.1,518,3.84,45.72,206.93,3495.07,56.42,0
7161,1,385.91,482,31.1,8.27,279.63,3234.67,23.14,1
7162,3,300.87,602,6.45,267.24,167.19,3536.26,19.48,1
7163,2,109.87,165,8.98,39.76,148.38,1188.4,38.74,0
7164,1,140.38,175,14.21,200.54,333.24,3301.17,64.62,1
7165,1,192.18,240,8.08,168.92,83.08,3424.7,32.04,1
7166,2,388.32,582,21.1,18.31,35.42,609.43,47.74,1
7167,1,31.79,40,6.99,90.71,220.75,2863.81,60.16,0
7168,2,71.18,107,10.29,32.47,232.02,886.78,25.12,1
7169,2,40.07,60,15.66,121.84,34.21,1767.19,56.51,0
7170,3,426.88,854,33.56,111.81,194.74,1168.89,4.88,1
7171,1,298.44,373,18.01,22.21,97.9,1733.8,20.32,0
7172,1,134.87,169,3.62,48.43,360.93,646.83,67.5,1
7173,3,347.36,695,11.87,322.11,222.34,2244.13,9.46,1
7174,1,281.36,352,10.73,80.11,137.83,1533.78,14.18,0
7175,1,144.51,181,8.39,134.08,321.83,1453.15,42.99,1
7176,2,187.4,281,26.29,235.62,125.08,3374.66,7.71,1
7177,3,133.15,266,3.01,152.7,95.44,167.59,42,0
7178,2,223.44,335,9.54,75.22,152.86,3054.18,53.88,0
7179,1,261.52,327,4.66,12.61,175.76,2635.32,68.1,0
7180,1,437.86,547,27.28,45.04,195.24,500.5,47.27,1
7181,1,328.89,411,4.51,165.66,39.1,446.79,62.91,1
7182,2,231.4,347,5.43,65.11,249.89,1701.81,27.93,1
7183,3,395.43,791,22.58,326.55,115.67,954.39,39.78,1
7184,2,452.57,679,6.64,76.58,7.91,1974.14,17.33,0
7185,3,149.5,299,5.06,11.93,74.25,2749.45,0.75,1
7186,3,347.26,695,17.47,34.71,50.36,2182.68,28.93,0
7187,2,98.47,148,5.41,152.92,250.6,2992.85,25.57,0
7188,3,142,284,15.66,73.83,183.94,3570.63,5.24,0
7189,1,217.82,272,19.94,102.77,205.46,2568.15,49.18,0
7190,1,240.6,301,13.42,189.08,51.01,1874.84,6.68,1
7191,1,173.72,217,25.07,57.79,329.28,657.05,27.14,1
7192,2,109.32,164,22.31,150.4,92.52,703.68,32.88,0
7193,1,67.57,84,5.28,64,193.12,1204.78,49.99,0
7194,2,257.32,386,27.87,37.19,299.3,187.45,52.19,1
7195,2,240.43,361,23.69,108.43,140.7,2357.61,65.58,0
7196,2,365.26,548,15.08,20.59,330.57,3062.41,16.44,1
7197,3,446.78,894,6.28,64.15,158.47,1961.45,56.48,0
7198,2,46.22,69,14.25,83.53,30.8,665.97,53.44,0
7199,3,408.1,816,11.93,617.86,152.47,1438.21,6.61,1
7200,1,280.59,351,11.92,84.34,194.91,3416.02,36.8,0
7201,2,67.42,101,7.7,61.1,332.54,1978.76,32.19,1
7202,1,260.72,326,9.95,8.67,163.49,409.07,24.9,0
7203,1,240.73,301,17.01,15.44,348.1,632.96,39.33,1
7204,3,323.61,647,8.92,65.11,161.8,1158.82,43.81,0
7205,3,173.83,348,13.04,23.84,356.86,116.87,22.32,1
7206,3,28.76,58,9.79,357.01,148.02,2133.76,28.16,1
7207,2,85.82,129,19.57,297.27,115.75,552.61,35.07,1
7208,2,242.46,364,6.58,23.74,264.52,3043.64,23.93,1
7209,3,302.71,605,14.23,33.27,46.31,1496.96,28.61,0
7210,2,328.72,493,7.14,86.45,170.23,3446.78,15.41,0
7211,1,168.45,211,35.78,86.12,31.49,2159.58,35.32,1
7212,2,173.99,261,26.36,24.95,63.29,2645.12,68.61,1
7213,2,157.57,236,10.77,43.88,114.71,2439.58,24.11,0
7214,1,311.85,390,2.95,121.96,31.66,1078.49,17.39,1
7215,2,40.94,61,27.54,30.61,14.32,1477.34,26.96,1
7216,1,137.7,172,9.79,91.58,287.86,1662.58,53.53,1
7217,1,294.89,369,9.94,156.68,37.23,1986.95,40.13,0
7218,2,157.96,237,6.9,163.51,254.59,3467.92,51.18,1
7219,2,144.74,217,21.93,141.52,13.94,3480.19,63.07,0
7220,1,106.04,133,4.95,66.28,121.75,1710.23,30.62,0
7221,2,245.43,368,18.52,306.32,144.99,1383.26,49.07,1
7222,2,94.13,141,2.14,64.24,209.45,2297.36,66.32,0
7223,1,310.94,389,12.1,27.56,247.36,256.94,3.11,1
7224,3,262.39,525,2.6,52.04,179.81,527.36,56.61,0
7225,2,322.16,483,16.73,216.45,285.9,408,30.62,1
7226,3,459.7,919,25.43,91.01,29.45,665.9,45.56,1
7227,3,240.78,482,9.47,13.07,251.03,2989.73,23.81,0
7228,3,164.84,330,20.16,29.55,328.23,1552.37,40.57,1
7229,1,63.18,79,6.63,165.75,221.02,417.86,58.12,1
7230,1,182.19,228,9.59,93.99,292.51,2108.54,29.1,1
7231,3,350.61,701,10.6,8.42,190.25,559.74,19.21,0
7232,2,233.83,351,22.27,75.03,295.22,1152.46,25.24,1
7233,1,259.9,325,16.69,89.66,311.02,3111.05,22.09,1
7234,2,109.11,164,31.35,269.3,141.14,671.02,67.13,1
7235,3,455.54,911,7.51,77.88,274.57,2619.5,35.32,1
7236,2,370.84,556,13.49,33.86,194.2,1804.37,62.87,0
7237,1,107.65,135,2.73,122.66,23,3145.93,39.81,0
7238,1,141.49,177,12.25,33.46,52.77,276.62,10.72,0
7239,3,81.35,163,11.14,25.72,104.48,1853.11,26.55,0
7240,1,250.03,313,4.89,186.48,103.63,2388.14,15.4,1
7241,1,203.9,255,6.98,454.48,57.2,770.44,14.68,1
7242,2,407.49,611,6.93,40.66,135.94,1807.45,55.95,1
7243,1,199.36,249,22.74,263.06,135.86,2095.66,9.43,1
7244,1,242.63,303,22.86,61.32,286.78,3394.7,27.82,1
7245,3,97.47,195,23.03,330.7,261.32,2147.09,7.53,1
7246,2,411.09,617,18.48,20.84,289.99,385.94,31.68,1
7247,3,197.26,395,31.98,258.62,252.76,1209.46,26.34,1
7248,2,300.74,451,4.57,232.34,309,3019.04,57.26,1
7249,2,394.61,592,13.75,39.29,181.05,1644.6,39.63,1
7250,3,177.97,356,4.46,73.03,315.77,599.82,6.39,1
7251,1,396.72,496,4.66,89.54,26.49,3490.82,4.76,1
7252,2,411.25,617,12.73,56.08,272.64,2498.52,14.34,1
7253,3,374.47,749,8.77,52.32,235.76,1938.75,4.92,1
7254,1,243.26,304,8.23,27.63,112.95,2750.46,45.4,0
7255,3,131.49,263,20.63,76.23,25.74,1549.45,56.32,1
7256,3,191.4,383,6.47,712.63,258.57,2684.62,35.88,1
7257,3,224.54,449,16.04,133.98,14.27,3595.13,35.18,0
7258,2,346.78,520,17.35,121.74,291.44,302.93,7.52,0
7259,1,421.8,527,4.57,5.46,275.9,1210.07,27.77,1
